step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
170,6372,340,0.09945951219648123,0.0,0.0,,,,,,,,,
171,6390,342,0.10462078019976616,0.5,0.5,,,,,,,,,
172,6424,344,0.07306519555859267,0.5,0.5,,,,,,,,,
173,6458,346,0.07545058025047183,1.0,1.0,,,,,,,,,
174,6476,348,0.11149973668158054,1.0,1.0,,,,,,,,,
175,6510,350,0.0698820527084172,0.5,0.5,,,,,,,,,
176,6544,352,0.08101755985990167,0.5,0.5,,,,,,,,,
177,6594,354,0.0519716393823425,0.5,0.5,0.05478298049420119,1.0,1.0,,,,,,
178,6628,356,0.06715202160179615,0.5,0.5,,,,,,,,,
179,6662,358,0.073087791018188,0.0,0.0,,,,,,,,,
180,6696,360,0.06075215332210065,0.5,0.5,,,,,,,,,
181,6730,362,0.06301845422014594,1.0,1.0,,,,,,,,,
182,6764,364,0.05538203725591302,1.0,1.0,,,,,,,,,
183,6782,366,0.1289474255591631,0.5,0.5,,,,,,,,,
184,6848,368,0.057067467113956806,0.5,0.5,,,,,,,,,
185,6914,370,0.04032477776519954,0.5,0.5,0.03137833217779795,1.0,1.0,,,,,,
186,6948,372,0.0720709580183029,0.5,0.5,,,,,,,,,
187,6982,374,0.03805310567840934,1.0,1.0,,,,,,,,,
188,7016,376,0.07617925005033613,0.5,0.5,,,,,,,,,
189,7066,378,0.0911070324232181,0.0,0.0,,,,,,,,,
190,7100,380,0.03267993180081248,1.0,1.0,,,,,,,,,
191,7134,382,0.054237040933221584,1.0,1.0,,,,,,,,,
192,7168,384,0.07745849494822324,0.5,0.5,,,,,,,,,
193,7218,386,0.03709013771731407,1.0,1.0,0.06028759211301804,1.0,1.0,,,,,,
194,7252,388,0.05045140113681556,1.0,1.0,,,,,,,,,
195,7286,390,0.047188687343150376,1.0,1.0,,,,,,,,,
196,7320,392,0.033169741071760656,1.0,1.0,,,,,,,,,
197,7370,394,0.10043850697577,0.0,0.0,,,,,,,,,
198,7404,396,0.0858456065878272,0.5,0.5,,,,,,,,,
199,7470,398,0.0478414809703827,0.5,0.5,,,,,,,,,
200,7504,400,0.028034742381423713,1.0,1.0,,,,,,,,,
201,7538,402,0.09991994198411704,0.0,0.0,0.07987625056877731,0.5,0.5,,,,,,
202,7572,404,0.05583851128816604,0.5,0.5,,,,,,,,,
203,7622,406,0.04822932007412115,0.5,0.5,,,,,,,,,
204,7672,408,0.04958671882748603,1.0,1.0,,,,,,,,,
205,7706,410,0.06089347887784243,1.0,1.0,,,,,,,,,
